NAME,productUrl,imageUrl,originalPrice,DiscountedPrice,Discount,ratingScore,review,description,categories,itemId,page
"Điện thoại Samsung Galaxy A54 5G (8GB/128GB) - Hàng chính hãng - 3 camera chính sắc nét, pin lớn 5000 mAh",,https://vn-live-01.slatic.net/p/19e8f19b25aea9e317af7441da26123c.jpg,10490000,7559000,28% Off,5.0,7,[],"[4402, 4518]",2223343983,10
Điện Thoại Redmi Note 12S 8GB/256GB - Chính hãng,,https://vn-live-01.slatic.net/p/91ef5f71ede66d4c58f853f43cbc5248.png,6690000,4990000,25% Off,5.0,10,[],"[4402, 4518]",2293160766,10
"Điện thoại Cảm ứng Cao Cấp Giá rẻ điện thoại Vivo Y35 2022 máy 2sim ram 8G/128G Chính Hãng, cảm ứng mượt, Camera siêu đẹp, máy nghe gọi tốt, Full Zalo Facebook Youtube, cày game mượt, Bảo hành 12 tháng - TTN 01",,https://vn-live-01.slatic.net/p/71c8e1659b6d430ec7d8a6a88ded1c77.jpg,1088000,649000,40% Off,4.934959349593496,123,[],"[4402, 4518]",2338645024,10
Xiaomi Redmi 12C 4GB - 64GB,,https://vn-live-01.slatic.net/p/5db59f57a9b30cf2a1bff49da609ccfc.jpg,3590000,2490000,31% Off,5.0,19,[],"[4402, 4518]",2203534934,10
"Điện thoại Samsung Galaxy A34 5G (8GB/128GB) - Hàng chính hãng - Màn hình sống động, sắc nét, camera đỉnh cao",,https://vn-live-01.slatic.net/p/71dbba488dd9fa01af4f65dd5b88945d.jpg,8490000,5849000,31% Off,5.0,20,[],"[4402, 4518]",2223610862,10
Điện Thoại Xiaomi Redmi Note 12 8GB/128GB - Hàng Chính Hãng,,https://vn-live-01.slatic.net/p/83f75a03b9398844c2c715459d80868c.jpg,5790000,4449000,23% Off,5.0,1,[],"[4402, 4518]",2418596100,10
Điện thoại cổ nokia x2 00 giá rẻ  vỏ kim loại tặng sim 4g,,https://vn-live-01.slatic.net/p/ad18e490a33cdf1fadd4bd81ddffc5d7.jpg,445000,299000,33% Off,4.545454545454546,11,[],"[4402, 4518]",304920536,10
Điện thoại Nokia C30 (2GB/32BG) - Mới nguyên seal - Hàng chính hãng,,https://vn-live-01.slatic.net/p/96b89f42c3901bde793ac7d84dd690d2.png,2690000,1549000,42% Off,4.764705882352941,34,[],"[4402, 4518]",1729611769,10
Điện Thoại Infinix Hot 20 Play 4GB/128GB - Hàng Chính Hãng,,https://vn-live-01.slatic.net/p/70b18fde8a6e755673ffb16f291ea987.jpg_1500x1500q80.jpg,3190000,2890000,9% Off,5.0,16,[],"[4402, 4518]",2333339560,10
Samsung  A20  Ram 3G/32G  máy đẹp keeng CẤU HÌNH siêu mượt.,,https://filebroker-cdn.lazada.vn/kf/S9f813c03230d4862962c2c0971db0929z.jpg,,900000,,4.615384615384615,39,[],"[4402, 4518]",1665171957,10
"Realme 5 Pro - điện thoại Realme 5 Pro 2sim ram 8G/256G máy Chính Hãng, lướt Wed Tiktok Facebook Youtube chất, Bảo hành 12 tháng",,https://vn-live-01.slatic.net/p/c94f83eaa7155737dfab68c28fae2c01.jpg,1788000,999000,44% Off,4.918367346938775,48,[],"[4402, 4518]",2317032116,10
SAMSUNG A51  6G/128G GIÁ MỀM -SIÊU ĐẸP CHƠI GAME LƯỚT MẠNG BAO MƯỢT.,,https://ph-live-01.slatic.net/p/c2d4ed5ec7d27bbcd0bc37b4a85dcbe5.jpg,,1750000,,5.0,6,[],"[4402, 4518]",2164123577,10
Điện Thoại Samsung A05s 4GB/128GB - Hàng Chính Hãng,,https://vn-live-01.slatic.net/p/f3fe110fd6b61f44b37c7ed51ec3c5e4.jpg,3990000,3349000,16% Off,5.0,1,[],"[4402, 4518]",2424625326,10
"điện thoại Oppo A3s 2sim ram 6G/128G máy Chính Hãng, Cấu hình Chip Cao mạnh mẽ Cày Liên Quân- PUBG-Free Fire-Tiktok siêu mượt - TTN 01",,https://vn-live-01.slatic.net/p/de6a60e4cef1628179b2cf694896ca16.jpg,777000,322806,58% Off,4.796178343949045,157,[],"[4402, 4518]",2160296366,10
Điện thoại Samsung Galaxy S20 FE (8GB/256GB) - Hàng chính hãng - Màn hình 6.5inch AMOLED FHD+ bộ 3 Camera sau Pin 4500mAh,,https://vn-live-01.slatic.net/p/a55b1a242051339d614d1ed839988c5b.jpg,13490000,7459000,45% Off,5.0,3,[],"[4402, 4518]",1300147087,10
SAMSUNG A600  MÁY RAM 3G/32G ĐẸP KEENG -SIÊU ĐẸP - SIÊU MƯỢT - SIÊU BỀN.,,https://filebroker-cdn.lazada.vn/kf/S8c07bd371884439ca72f696daf1b6b747.jpg,,850000,,5.0,4,[],"[4402, 4518]",1665229697,10
"Xiaomi Redmi Note 10 je 4GB/64GB, waterproof IP68, quick Charge 18W-imports-International Edition",,https://vn-live-01.slatic.net/p/0d19e0e889ff0ea3a4e05f7fe0fb4321.jpg,3699000,2349000,37% Off,5.0,7,[],"[4402, 4518]",2174614596,10
oppo neo 5 ( a31 ) ram 1gb bộ nhớ 8gb-16gb giá rẻ,,https://filebroker-cdn.lazada.vn/kf/Sdd1f01884788440e823b25176f253b28p.jpg,,280000,,4.269230769230769,26,[],"[4402, 4518]",1452697362,10
[CHỈ 11.11 - VOUCHER 1.1TR] Điện thoại Samsung Galaxy A34 5g (8GB/128GB),,https://vn-live-01.slatic.net/p/8ec24780120fa1aa07923433cb49c007.jpg,,8490000,,4.87958115183246,191,[],"[4402, 4518]",2207531340,10
Điện Thoại Samsung Galaxy A54 5G 256GB,,https://vn-live-01.slatic.net/p/538436265e92db77c651360b88a1e972.jpg,11490000,7990000,30% Off,0,,[],"[4402, 4518]",2492495648,10
"Điện thoại Samsung Galaxy A05s (4GB/128GB) - Hàng chính hãng - Cụm 3 camera sắc nét, hiệu năng ổn định, dung lượng pin 5000mAh",,https://vn-live-01.slatic.net/p/c7d0fa2665fe036ecaa3cae72da5e53a.jpg,3990000,3449000,14% Off,5.0,3,[],"[4402, 4518]",2421631827,10
điện thoại oppo neo 9 máy cũ 16G giá máy không phụ kiện,,https://filebroker-cdn.lazada.vn/kf/S02c061c6f3974b2db9276303762f502de.jpg,,425000,,4.857142857142857,7,[],"[4402, 4518]",1933328362,10
SAMSUNG A750 SIÊU MẠNH SIÊU ĐẸP SIÊU BỀN 4G-6G/64G/128G.,,https://vn-live-01.slatic.net/p/0bee058e4c89513d85e8c14d7a65ca2f.png,,1050000,,5.0,8,[],"[4402, 4518]",2472415027,10
Điện Thoại Samsung Note 8 củ vỡ màn hình giá rẻ - Ram 6gb - Bộ nhớ 64gb,,https://vn-live-01.slatic.net/p/cd4db9f6be68d1fdd2309e6c6d987d7f.jpg,,1160000,,0,,[],"[4402, 4518]",2491590384,10
Điện thoại Realme C55 (6GB/128GB) - Hàng nhập khẩu - Mới nguyên seal,,https://vn-live-01.slatic.net/p/b72887ef3173a60684167307f45fedfe.jpg,4990000,3499000,30% Off,5.0,5,[],"[4402, 4518]",2234015834,10
Sim vietnammobile giá rẻ hết hạn đăng kí,,https://vn-live-01.slatic.net/p/01246b2d75adcbbe670496142f3a08b8.jpg,,10000,,4.5,8,[],"[4402, 4518]",2247241837,10
"điện thoại Oppo R9S Plus - Oppo R9 S Plus Chính Hãng 2sim ram 6G rom 64G, Cấu hình mạnh đỉnh Cày PUBG/Liên Quân/Free Fire/Tiktok siêu mượt",,https://vn-live-01.slatic.net/p/f55c3a089cc175814e4447a0affa971b.jpg,1250000,748000,40% Off,4.954545454545454,22,[],"[4402, 4518]",2021716187,10
Điện thoại Oppo Neo 9 (A37) Chơi Game Nặng Xem Youtube Chụp Ảnh Đẹp Ram 2G Bộ Nhớ 16G Tặng Pin Sạc,,https://vn-live-01.slatic.net/p/aaee12604cf1a281ec53a2055142a337.jpg,990000,498000,50% Off,4.725,40,[],"[4402, 4518]",2033227478,10
"điện thoại Vivo Y81 2sim ram 6/128G máy Chính Hãng, Cấu hình Cao cấp, Chiến mọi game nặng siêu mượt, Bảo hành 12 tháng",,https://vn-live-01.slatic.net/p/2470aa08e13e3eef23218ec98529dd6a.jpg,1177000,649000,45% Off,5.0,58,[],"[4402, 4518]",2409037449,10
"điện thoại Vivo Y36 5G 2sim ram 8G/256G máy Chính Hãng, Cấu hình siêu khủng, Cày game nặng mượt mà, Camera siêu nét, Bảo hành 12 tháng - NNT 01",,https://vn-live-01.slatic.net/p/748f4f682f1b421d4dc8222b505aedc2.jpg,1088000,649000,40% Off,5.0,36,[],"[4402, 4518]",2504315690,10
SAMSUNG J810,,https://filebroker-cdn.lazada.vn/kf/S3a8e9b07c77c43769576149b0650ed1fJ.jpg,,850000,,4.84,50,[],"[4402, 4518]",2027575581,10
SAMSUNG A20  MÁY SIÊU MẠNH CÒN MỚI ĐEP KHÔNG TRẦY XƯỚC 3G/32G.,,https://vn-live-01.slatic.net/p/1fbcfb288581892de43ce611aea4b07b.jpg,,950000,,4.494318181818182,176,[],"[4402, 4518]",2142317384,10
Điện thoại nhỏ gọn j5prime hàng zin qua tay,,https://filebroker-cdn.lazada.vn/kf/S6fc8eeb65c2c416388084af47b7c32f0y.jpg,650000,495000,24% Off,5.0,4,[],"[4402, 4518]",2418804831,10
samsung a50s  99%. MÁY ĐẸP KEENG SIÊU MƯỢT.,,https://vn-live-01.slatic.net/p/fe665b3a82844be750ee705521b72038.jpg,,1400000,,5.0,10,[],"[4402, 4518]",2044456109,10
(Tặng thêm Quà tai nghe) Điện thoại Tecno POVA 5 (8+8)/128GB - MediaTek G99 - Sạc nhanh 45W - 6.8'' FHD+ Tần số quét 120HHZ - Hàng Chính Hãng - Bảo hành 13 Tháng,,https://vn-live-01.slatic.net/p/79aafda65a978da164b56dce960eb784.jpg,,4990000,,5.0,27,[],"[4402, 4518]",2076264157,10
Điện Thoại lp 6 PIus (Máy To)  bản q-Tế lắp sim cài game và ứng dụng.BH 12 Tháng,,https://vn-live-01.slatic.net/p/5d7b7012bec38d0e2e1f46dc99f92467.jpg,1300000,895000,31% Off,4.5,4,[],"[4402, 4518]",2415111862,10
Điện thoại cũ i-p 6g mvt đẹp trên 90% giá rẻ,,https://filebroker-cdn.lazada.vn/kf/Se23c149d23b54f1c979aa87870f8e791e.jpg,769000,739000,4% Off,5.0,2,[],"[4402, 4518]",2429717769,10
Apple iPhone 11 128GB Chính Hãng (VN/A),,https://vn-live-01.slatic.net/p/fabed07f72db40d8aa8da0e94ed36d6b.jpg,16990000,12780000,25% Off,4.8,5,[],"[4402, 4518]",2042892481,10
"[ Rẻ Vô Địch ] điện thoại Vivo Y95 ram 6G/128G 2sim máy Chính Hãng, Cấu hình Cao cấp, Chiến mọi game nặng siêu mượt, Bảo hành 12 tháng",,https://vn-live-01.slatic.net/p/e9ca077c5655f8b95384b67ac27ea6e3.jpg,1177000,649000,45% Off,4.935483870967742,62,[],"[4402, 4518]",2409065312,10
Điện thoại Xiaomi Redmi Note 12 - Chính hãng,,https://vn-live-01.slatic.net/p/0ec1e31409b460e4cc4610284481d5ad.jpg,4990000,3890000,22% Off,4.926470588235294,136,[],"[4402, 4518]",2231459464,10
